Date,AAPL_LSTM,AAPL_BiLSTM,AAPL_RNN,AAPL_XGB,MSFT_LSTM,MSFT_BiLSTM,MSFT_RNN,MSFT_XGB,GOOGL_LSTM,GOOGL_BiLSTM,GOOGL_RNN,GOOGL_XGB,AMZN_LSTM,AMZN_BiLSTM,AMZN_RNN,AMZN_XGB,NVDA_LSTM,NVDA_BiLSTM,NVDA_RNN,NVDA_XGB,TSLA_LSTM,TSLA_BiLSTM,TSLA_RNN,TSLA_XGB,META_LSTM,META_BiLSTM,META_RNN,META_XGB,JPM_LSTM,JPM_BiLSTM,JPM_RNN,JPM_XGB,V_LSTM,V_BiLSTM,V_RNN,V_XGB,JNJ_LSTM,JNJ_BiLSTM,JNJ_RNN,JNJ_XGB,BTC-USD_LSTM,BTC-USD_BiLSTM,BTC-USD_RNN,BTC-USD_XGB,XRP-USD_LSTM,XRP-USD_BiLSTM,XRP-USD_RNN,XRP-USD_XGB,ETH-USD_LSTM,ETH-USD_BiLSTM,ETH-USD_RNN,ETH-USD_XGB,GC=F_LSTM,GC=F_BiLSTM,GC=F_RNN,GC=F_XGB,SI=F_LSTM,SI=F_BiLSTM,SI=F_RNN,SI=F_XGB
2026-03-27,240.773,251.1401,223.2569,193.7706,377.8801,373.1089,359.5546,398.2574,294.3781,300.5117,225.6766,174.9561,208.2567,208.3768,199.6359,183.4296,176.7888,185.3652,153.1862,129.6492,384.1674,376.5122,359.4285,344.5874,582.0562,584.7076,562.2286,466.0095,291.6579,282.3674,246.0504,190.9456,302.2739,303.666,290.1731,279.0662,221.8404,233.0006,186.2931,157.9394,70324.625,69648.9531,69658.6719,68214.5078,1.398,1.3956,1.3204,1.0152,2033.5166,2194.291,2066.5518,2083.0146,4489.3164,4461.2705,3454.572,2313.7754,63.4775,62.0233,43.0987,29.0617
2026-03-30,240.1117,251.0908,218.2802,188.8032,375.1736,371.042,354.2436,401.8445,292.6705,300.4279,218.3613,174.986,208.2479,208.1684,198.9556,182.5053,176.1816,185.5166,149.8926,129.6492,382.9945,375.4959,354.3874,333.6655,576.3979,580.3612,568.6817,446.2885,292.5,281.591,239.7324,190.959,302.4451,303.5593,288.7197,277.4242,220.6611,232.3866,183.7709,155.7883,70187.0156,69479.8359,68855.9609,67860.1562,1.3955,1.398,1.2983,0.9733,1993.7102,2212.1145,2005.2517,2108.4861,4535.0864,4443.1411,3340.2385,2313.2397,62.5744,59.9599,41.1501,28.8498
2026-03-31,239.1882,251.0275,216.0431,180.6776,373.5056,369.3096,348.5444,406.9378,292.4109,300.4689,202.0426,175.4595,208.2275,207.9429,196.7795,182.0282,175.7077,185.6913,145.8523,129.6492,382.2966,374.6041,349.0768,331.1042,573.1575,576.2515,555.9062,432.4428,293.2374,280.8169,235.7719,191.1441,302.3475,303.4669,287.711,274.0129,218.9247,231.7799,179.0499,154.2426,70153.4844,69294.6953,67191.1328,67946.6094,1.399,1.4022,1.2864,0.9288,1956.2645,2234.1404,1979.7104,2133.1536,4582.8965,4428.4214,3094.1396,2304.6663,61.4814,58.1708,37.0533,27.9953
2026-04-01,238.0723,250.929,211.5733,175.3495,372.5285,367.8589,344.8043,412.6728,292.9677,300.6201,193.0459,175.4595,208.198,207.7123,194.9787,180.7513,175.3299,185.8222,143.4839,129.6492,381.9381,373.8666,344.1268,302.3011,571.2645,572.3816,548.6754,425.8143,293.8888,279.9695,227.4008,191.2424,302.081,303.4161,286.699,272.7076,216.8221,231.1829,173.8566,151.7594,70190.8672,69129.1172,67965.4453,67695.5781,1.4058,1.4081,1.2624,0.9118,1918.9717,2260.0547,1951.0282,2152.3794,4629.5938,4415.5098,2889.8523,2296.6216,60.3095,56.541,38.1429,27.2821
2026-04-02,236.8395,250.8156,207.3717,171.5429,371.9952,366.58,341.0373,419.9759,293.9861,300.8543,185.752,174.946,208.1602,207.4582,192.4985,179.5768,175.0217,186.0031,143.1858,129.6492,381.8177,373.1483,337.9776,284.7299,570.1191,568.6544,544.4091,427.6244,294.4704,279.0236,221.3445,191.2591,301.7069,303.223,283.2025,271.3882,214.491,230.6384,169.5872,149.0554,70275.9062,68950.0234,67523.5156,67352.9375,1.4139,1.4153,1.2432,0.9184,1881.6843,2288.8801,1936.7272,2215.3494,4673.0186,4404.2432,2773.7483,2296.0337,59.1187,55.0283,35.2604,25.8365
2026-04-03,235.5336,250.7066,199.2738,169.8393,371.7353,365.3932,336.3657,425.7183,295.2548,301.1549,181.9957,174.946,208.1148,207.166,191.4901,177.838,174.7628,186.2338,139.5812,129.6492,381.8615,372.6025,332.3213,268.2134,569.3806,565.086,546.3725,428.9298,294.9957,278.0295,212.9471,191.1435,301.2641,302.8869,279.8206,269.6706,212.0364,230.1183,167.4223,147.0365,70392.4297,68798.3203,67245.0547,67196.7812,1.4222,1.4234,1.2187,0.9229,1844.2711,2320.5281,1913.382,2277.6274,4711.8706,4394.7725,2655.4609,2295.1863,57.9463,53.6564,34.183,25.1353
2026-04-06,234.1798,250.5834,194.9423,169.7177,371.6348,364.2665,334.1404,430.4051,296.6417,301.4572,181.1214,175.4595,208.0622,206.8208,190.1796,176.8355,174.5384,186.4069,138.6826,129.6492,382.0172,372.1695,329.683,256.4842,568.853,561.6843,546.4742,429.0063,295.4759,277.0498,206.8001,191.3439,300.7783,302.4554,277.3275,269.3308,209.5401,229.6158,166.3411,146.5144,70529.5,68645.1484,68121.0078,67132.5938,1.4299,1.4322,1.1988,0.931,1806.238,2354.071,1832.1702,2306.4998,4745.561,4386.6978,2625.1528,2294.311,56.8145,52.4241,33.7129,24.3652
2026-04-07,232.8052,250.4398,193.1742,169.5921,371.6195,363.1983,329.6718,432.673,298.0619,301.7641,177.7171,175.4595,208.0031,206.3976,188.7123,176.0587,174.3378,186.7246,137.5783,129.6492,382.2479,371.8051,327.7021,256.8365,568.424,558.3987,536.4226,428.9652,295.92,276.0345,203.8954,191.4186,300.2667,301.9471,276.6858,268.5004,207.0637,229.1782,163.9702,146.3148,70679.7344,68459.0703,66396.0156,66704.9922,1.4367,1.4414,1.1763,0.9257,1767.5631,2388.4758,1810.5129,2336.5464,4774.0581,4379.541,2516.7646,2293.8071,55.7365,51.2969,29.8434,23.5238
2026-04-08,231.4294,250.2555,189.7889,169.7301,371.6429,362.1542,330.5502,433.3143,299.4599,302.0649,172.6786,174.946,207.9382,205.8804,187.7144,175.8504,174.1536,187.0453,133.6519,129.6492,382.5286,371.4523,324.6643,254.3875,568.0299,555.2495,531.9779,428.8042,296.3349,275.066,203.063,191.4438,299.7414,301.3368,277.1397,266.7188,204.6524,228.7897,164.0745,146.5845,70838.2891,68277.5547,66521.8828,67181.4531,1.4426,1.4507,1.1667,0.9335,1728.1597,2424.1458,1764.292,2292.03,4797.7432,4372.6631,2512.3857,2294.9541,54.7188,50.2585,30.3948,23.7945
2026-04-09,230.0657,250.0129,186.9009,169.4909,371.6771,361.1504,327.3478,437.2566,300.8007,302.3508,169.2719,174.946,207.8685,205.2632,186.4594,175.8604,173.9806,187.359,131.5427,129.6492,382.842,371.1042,321.3921,251.6895,567.6366,552.3306,534.0244,428.7723,296.7263,274.1163,200.4127,191.4438,299.2107,300.693,276.201,265.5203,202.3381,228.3868,162.7257,146.2444,71001.9453,68107.1406,66693.3438,66917.4766,1.4477,1.46,1.1503,0.9307,1687.9287,2461.1248,1751.9246,2272.0669,4817.2705,4366.7837,2475.8801,2292.9653,53.7641,49.3173,28.9028,23.698
